,Exchange date,USD_to_AUD
0,2018-01-01,
1,2018-01-02,1.2759984688018375
2,2018-01-03,1.2794268167860798
3,2018-01-04,1.2763241863433312
4,2018-01-05,1.2727504136438845
5,2018-01-06,1.2735619096995106
6,2018-01-07,1.2743734057551366
7,2018-01-08,1.2751849018107626
8,2018-01-09,1.2732365673542145
9,2018-01-10,1.2774655084312723
10,2018-01-11,1.2701638511367968
11,2018-01-12,1.2682308180088777
12,2018-01-13,1.2649854920629702
13,2018-01-14,1.2617401661170629
14,2018-01-15,1.2584948401711553
15,2018-01-16,1.2550200803212852
16,2018-01-17,1.257071024512885
17,2018-01-18,1.2556504269211453
18,2018-01-19,1.2470382840753211
19,2018-01-20,1.2485470079067014
20,2018-01-21,1.2500557317380816
21,2018-01-22,1.2515644555694618
22,2018-01-23,1.2517211165352358
23,2018-01-24,1.2475049900199602
24,2018-01-25,1.2354830738818878
25,2018-01-26,1.2354067718145778
26,2018-01-27,1.235330469747268
27,2018-01-28,1.2352541676799582
28,2018-01-29,1.2351778656126482
29,2018-01-30,1.2391573729863692
30,2018-01-31,1.2386968908708038
31,2018-02-01,1.2431626056688214
32,2018-02-02,1.2504689258471928
33,2018-02-03,1.25404364678542
34,2018-02-04,1.257618367723647
35,2018-02-05,1.261193088661874
36,2018-02-06,1.2748597654258031
37,2018-02-07,1.2685525815045033
38,2018-02-08,1.2800819252432156
39,2018-02-09,1.2855122766422418
40,2018-02-10,1.282503886921566
41,2018-02-11,1.2794954972008903
42,2018-02-12,1.2764871074802144
43,2018-02-13,1.2706480304955527
44,2018-02-14,1.2695188523549576
45,2018-02-15,1.2605571662674901
46,2018-02-16,1.2554927809165097
47,2018-02-17,1.257870608153094
48,2018-02-18,1.2602484353896783
49,2018-02-19,1.2626262626262625
50,2018-02-20,1.2616704516780217
51,2018-02-21,1.273560876209883
52,2018-02-22,1.2810658467845248
53,2018-02-23,1.2786088735455823
54,2018-02-24,1.276332322072908
55,2018-02-25,1.2740557706002338
56,2018-02-26,1.2717792191275594
57,2018-02-27,1.2743723716069837
58,2018-02-28,1.2833675564681726
59,2018-03-01,1.2934937265554263
60,2018-03-02,1.289324394017535
61,2018-03-03,1.2895461560392099
62,2018-03-04,1.2897679180608845
63,2018-03-05,1.2899896800825594
64,2018-03-06,1.2865045670912132
65,2018-03-07,1.2813941568426448
66,2018-03-08,1.277139208173691
67,2018-03-09,1.2833675564681726
68,2018-03-10,1.2791815395304824
69,2018-03-11,1.2749955225927925
70,2018-03-12,1.2708095056551023
71,2018-03-13,1.2706480304955527
72,2018-03-14,1.2704865963664083
73,2018-03-15,1.2696800406297613
74,2018-03-16,1.2836970474967908
75,2018-03-17,1.2892050441899898
76,2018-03-18,1.294713040883189
77,2018-03-19,1.300221037576388
78,2018-03-20,1.2981955082435415
79,2018-03-21,1.2992074834351044
80,2018-03-22,1.2913223140495869
81,2018-03-23,1.2968486577616392
82,2018-03-24,1.296176976467965
83,2018-03-25,1.2955052951742907
84,2018-03-26,1.2948336138806165
85,2018-03-27,1.2923235978288963
86,2018-03-28,1.2997140629061608
87,2018-03-29,1.3046314416177431
88,2018-03-30,1.303952388167324
89,2018-03-31,1.303273334716905
90,2018-04-01,1.3025942812664857
91,2018-04-02,1.3019152278160666
92,2018-04-03,1.3012361743656475
93,2018-04-04,1.2987012987012987
94,2018-04-05,1.3003901170351104
95,2018-04-06,1.3025921583952065
96,2018-04-07,1.3018017847889336
97,2018-04-08,1.301011411182661
98,2018-04-09,1.300221037576388
99,2018-04-10,1.29315918789603
100,2018-04-11,1.2904890953671442
101,2018-04-12,1.2901561088891755
102,2018-04-13,1.2853470437017995
103,2018-04-14,1.2859536776521456
104,2018-04-15,1.286560311602492
105,2018-04-16,1.287166945552838
106,2018-04-17,1.2868356710848023
107,2018-04-18,1.2868356710848023
108,2018-04-19,1.2813941568426448
109,2018-04-20,1.2963443090484834
110,2018-04-21,1.2986532762786405
111,2018-04-22,1.3009622435087977
112,2018-04-23,1.3032712107389548
113,2018-04-24,1.3144058885383807
114,2018-04-25,1.3173560998012737
115,2018-04-26,1.3203063110641668
116,2018-04-27,1.3253810470510272
117,2018-04-28,1.3239220190379812
118,2018-04-29,1.322462991024935
119,2018-04-30,1.321003963011889
120,2018-05-01,1.3262599469496021
121,2018-05-02,1.332800213248034
122,2018-05-03,1.3290802764486975
123,2018-05-04,1.3266118333775536
124,2018-05-05,1.3276703002658867
125,2018-05-06,1.32872876715422
126,2018-05-07,1.3297872340425532
127,2018-05-08,1.3308490817141336
128,2018-05-09,1.3449899125756557
129,2018-05-10,1.3408420488066506
130,2018-05-11,1.3273161667109106
131,2018-05-12,1.3264370329404038
132,2018-05-13,1.3255578991698973
133,2018-05-14,1.3246787653993906
134,2018-05-15,1.3319126265316994
135,2018-05-16,1.3361838588989845
136,2018-05-17,1.3262599469496021
137,2018-05-18,1.3299640909695438
138,2018-05-19,1.3299640909695438
139,2018-05-20,1.3299640909695438
140,2018-05-21,1.3299640909695438
141,2018-05-22,1.3178703215603584
142,2018-05-23,1.3260840737302746
143,2018-05-24,1.322401481089659
144,2018-05-25,1.3218770654329148
145,2018-05-26,1.3211211754949088
146,2018-05-27,1.3203652855569028
147,2018-05-28,1.3196093956188968
148,2018-05-29,1.3271400132714002
149,2018-05-30,1.3331555792560992
150,2018-05-31,1.3220518244315178
151,2018-06-01,1.3260840737302746
152,2018-06-02,1.321788594568268
153,2018-06-03,1.3174931154062615
154,2018-06-04,1.3131976362442548
155,2018-06-05,1.3101008777675882
